company,position,location,schedule,responsibilities,requirements,levels,techstack,source,format,salary,currency,salary_range,format2,levels2
НПЦ ЭЛВИС,Старший программист-алгоритмист,Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Математическая статистика', 'математические функции', 'C/C++', 'архитектура вычислительных машин', 'asm', 'Обработка сигналов и изображений']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
QSOFT,Программист PHP (Стажёр),Москва,Полный день,не определено,не определено,Нет опыта,"['PHP', 'MySQL', 'Git', 'Битрикс']",hh.ru,Полный день,0.0,не определено,0,не указано,От 0 до 1 года
МТС,Frontend (React) developer продукт Речевая аналитика (MTS AI),Москва,Гибкий график,не определено,не определено,От 3 до 6 лет,"['JavaScript', 'ReactJS']",hh.ru,Гибкий график,250000.0,RUB,300000,не указано,От 3 до 6 лет
МТС,Senior Backend Python Developer платформа видеоаналитики TenVision (MTS AI),Москва,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Python', 'asyncio', 'SQLAlchemy', 'Docker', 'Высоконагруженные системы']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
СБЕР,Ведущий аудитор,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
МТС,Senior Backend Python Developer платформенные компоненты (MTS AI),Москва,Удаленная работа,не определено,не определено,Более 6 лет,"['Python', 'Kubernetes', 'Docker', 'SQLAlchemy', 'asyncio', 'Go', 'Платформенные компоненты']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 6 лет
Телеграм-канал headlines (ИП Валеев Ренат Тагирович),Python developer (г. Томск),Томск,Гибкий график,не определено,не определено,От 1 года до 3 лет,"['Python', 'SQL', 'asyncio', 'NoSQL', 'Английский язык', 'Работа с большим объемом информации']",hh.ru,Гибкий график,70000.0,RUB,100000,не указано,От 1 года до 3 лет
Криптонит,Руководитель направления обработки речи,Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Python', 'PyTorch', 'Deep Learning', 'Speech To Text', 'Machine Learning']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
СБЕР,Системный аналитик (HR платформа),Москва,Полный день,не определено,не определено,От 1 года до 3 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,Frontend-разработчик,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['JavaScript', 'Git', 'Vue.js', 'HTML5', 'CSS3', 'SaaS']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
QSOFT,Продуктовый маркетолог IT,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Маркетинговый анализ', 'Маркетинговые исследования', 'MS PowerPoint', 'Анализ рынка', 'Поиск информации в интернет']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
"Velvetech, LLC",System Administrator (part-time),Новосибирск,Гибкий график,не определено,не определено,От 1 года до 3 лет,"['Linux', 'Cisco', 'MS Windows', 'Hyper-V', 'ESXi', 'TCP/IP', 'OSI', 'Microsoft Windows Server 2003/2008/2012/2016/2019', 'MSSQL', 'PostgreSQL', 'AWS', 'Azure', 'GCP', 'Английский язык']",hh.ru,Гибкий график,0.0,не определено,0,не указано,От 1 года до 3 лет
Сколково,"Product Manager AI-видеоаналитики для медицины (в компанию-резидент ""Сколково"")",Москва,Полный день,не определено,не определено,От 1 года до 3 лет,"['Английский язык', 'Agile Project Management', 'Работа в команде', 'Product Management', 'Бизнес-анализ', 'Machine Learning']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Омега Технологии будущего,Middle+/Senior Python Developer,Санкт-Петербург,Полный день,не определено,не определено,От 1 года до 3 лет,"['Python', 'Django Framework', 'Git', 'Linux', 'Flask']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Лаборатория Цифрового Зрения,Разработчик С++,Санкт-Петербург,Удаленная работа,не определено,не определено,От 3 до 6 лет,"['Python', 'C++', 'Git', 'Computer Vision', 'Machine Learning']",hh.ru,Удаленная работа,0.0,не определено,0,удаленка,От 3 до 6 лет
Доценко Дарья,Senior C++ Developer,Москва,Полный день,не определено,не определено,Более 6 лет,"['Linux', 'C++', 'Software Development']",hh.ru,Полный день,0.0,не определено,0,не указано,От 6 лет
СБЕР,Junior Quantitative Risk Analyst,Москва,Полный день,не определено,не определено,От 1 года до 3 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Лаборатория Цифрового Зрения,Системный администратор Linux / Junior DevOps,Санкт-Петербург,Полный день,не определено,не определено,От 3 до 6 лет,"['Linux', 'Bash', 'Docker', 'Git', 'Zabbix', 'SQL']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Aston,HRD/Head of recruitment,Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Обучение и развитие', 'Внутренние коммуникации', 'Корпоративная культура', 'Управление HR брендом']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
Aston,HRD/Head of recruitment,Санкт-Петербург,Полный день,не определено,не определено,От 3 до 6 лет,"['Подбор персонала', 'Обучение и развитие', 'Мотивация персонала', 'Организаторские навыки']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
ГК ВИЗАВИ Консалт,"Менеджер-аналитик (производство, цифровизация, AI)",Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Английский язык', 'Бизнес-анализ', 'Machine Learning', 'AI', 'Оптимизация производственных процессов']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
GameSport,Middle Full Stack Developer (CyberSport + CPA Platform) 6 часов в день,Санкт-Петербург,Удаленная работа,не определено,не определено,От 1 года до 3 лет,"['JavaScript', 'Git', 'MySQL', 'HTML', 'PostgreSQL', 'PHP', 'ООП', 'CSS', 'VueJS', 'Laravel']",hh.ru,Удаленная работа,125000.0,RUB,200000,удаленка,От 1 года до 3 лет
ГК ВИЗАВИ Консалт,"Руководитель проектов (Производство, ИИ)",Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Project management', 'Machine learning', 'AI', 'Оптимизация производственных процессов']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
WhyHappen,"FrontEnd /Fullstack разработчик (TeamLead), e-commerce, fintech",Москва,Полный день,не определено,не определено,Более 6 лет,"['Python', 'Fraud prevention', 'Аналитика', 'JavaScript', 'Machine learning', 'ELK', 'Elastic', 'Hadoop', 'Node.js', 'Clickhouse', 'REST', 'react']",hh.ru,Полный день,0.0,не определено,0,не указано,От 6 лет
NETRIKA,Менеджер по развитию Business Intelligence/BI системы,Санкт-Петербург,Полный день,не определено,не определено,От 1 года до 3 лет,"['Управление проектами', 'Разработка технических заданий', 'CRM', 'Информационные технологии', 'ERP', 'SQL', 'Автоматизация процессов', 'Power BI', 'Ведение активных клиентов']",hh.ru,Полный день,0.0,не определено,0,не указано,От 1 года до 3 лет
Промэкспертиза,Team Lead Python/С++ (Video Analytics),Москва,Полный день,не определено,не определено,От 3 до 6 лет,"['Python', 'Linux', 'C++', 'CUDA', 'machine learning', 'Machine vision']",hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
СБЕР,ABAP разработчик (HR платформа),Москва,Полный день,не определено,не определено,От 3 до 6 лет,не определено,hh.ru,Полный день,0.0,не определено,0,не указано,От 3 до 6 лет
МТС,Senior Backend Python Developer платформа видеоаналитики TenVision (MTS AI),Томск,Удаленная работа,не определено,не определено,От 3 до 6 лет,['Python'],hh.ru,Удаленная работа,200000.0,RUB,200000,удаленка,От 3 до 6 лет
